,Unnamed: 0,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean
1341,1341,1.343915972391039e+18,"....being removed and brought home from foreign lands who do NOTHING for us. A disgraceful act of cowardice and total submission by weak people to Big Tech. Negotiate a better Bill, or get better leaders, NOW! Senate should not approve NDAA until fixed!!!",False,False,127467,29381,2020-12-29,"....being removed and brought home from foreign lands who do nothing for us. a disgraceful act of cowardice and total submission by weak people to big tech. negotiate a better bill, or get better leaders, now! senate should not approve ndaa until fixed!!!"
1342,1342,1.3439164183168246e+18,"$2000 for our great people, not $600! They have suffered enough from the China Virus!!!",False,False,374411,59983,2020-12-29,"$2000 for our great people, not $600! they have suffered enough from the china virus!!!"
1344,1344,1.3439196540083569e+18,....and Congressmen/Congresswomen Elected. I do believe they forgot!,False,False,130357,25405,2020-12-29,....and congressmen/congresswomen elected. i do believe they forgot!
1345,1345,1.3439196530689434e+18,"....Can you imagine if the Republicans stole a Presidential Election from the Democrats - All hell would break out. Republican leadership only wants the path of least resistance. Our leaders (not me, of course!) are pathetic. They only know how to lose! P.S. I got MANY Senators..",False,False,146133,31466,2020-12-29,"....can you imagine if the republicans stole a presidential election from the democrats - all hell would break out. republican leadership only wants the path of least resistance. our leaders (not me, of course!) are pathetic. they only know how to lose! p.s. i got many senators.."
1346,1346,1.343919652125241e+18,"...more votes than is needed by me to win Pennsylvania, not to mention hundreds of thousands of votes in other categories which increase my already big lead into a landslide. All other Swing States show likewise. WE NEED NEW & ENERGETIC REPUBLICAN LEADERSHIP. This can not stand..",False,False,58898,15870,2020-12-29,"...more votes than is needed by me to win pennsylvania, not to mention hundreds of thousands of votes in other categories which increase my already big lead into a landslide. all other swing states show likewise. we need new & energetic republican leadership. this can not stand.."
1347,1347,1.3439196513367122e+18,"“A group of Republican lawmakers in Pennsylvania say 200,000 more votes were counted in the 2020 Election than voters (100% went to Biden). State Representative Frank Ryan said they found troubling discrepancies after an analysis of Election Day data.” @FoxNews This is far....",False,False,217746,60784,2020-12-29,"“a group of republican lawmakers in pennsylvania say 200,000 more votes were counted in the 2020 election than voters (100% went to biden). state representative frank ryan said they found troubling discrepancies after an analysis of election day data.” this is far...."
1348,1348,1.3439980760847483e+18,"Unless Republicans have a death wish, and it is also the right thing to do, they must approve the $2000 payments ASAP. $600 IS NOT ENOUGH! Also, get rid of Section 230 - Don’t let Big Tech steal our Country, and don’t let the Democrats steal the Presidential Election. Get tough! https://t.co/GMotstu7OI",False,False,190813,51680,2020-12-29,"unless republicans have a death wish, and it is also the right thing to do, they must approve the $2000 payments asap. $600 is not enough! also, get rid of section 230 - don’t let big tech steal our country, and don’t let the democrats steal the presidential election. get tough!"
1349,1349,1.3257780961512038e+18,"STOCK MARKET UP BIG, VACCINE COMING SOON. REPORT 90% EFFECTIVE. SUCH GREAT NEWS!",False,False,720091,96671,2020-11-09,"stock market up big, vaccine coming soon. report 90% effective. such great news!"
1350,1350,1.344036020162093e+18,"Loeffler, Perdue Support Increasing Relief Payments to $2K https://t.co/xLFHNDOBIR via @BreitbartNews. Republicans must support the $2000 payments and must FIGHT the crooked presidential election. We won big!",False,False,102327,26249,2020-12-29,"loeffler, perdue support increasing relief payments to $2k via . republicans must support the $2000 payments and must fight the crooked presidential election. we won big!"
1351,1351,1.3440516132169933e+18,"It is up to the States to distribute the vaccines once brought to the designated areas by the Federal Government. We have not only developed the vaccines, including putting up money to move the process along quickly, but gotten them to the states. Biden failed with Swine Flu!",False,False,159149,33409,2020-12-29,"it is up to the states to distribute the vaccines once brought to the designated areas by the federal government. we have not only developed the vaccines, including putting up money to move the process along quickly, but gotten them to the states. biden failed with swine flu!"
