,Unnamed: 0,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean,lemmas,contains_metaphor
212,511,1.3277157679163924e+18,The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!,False,False,302185,70205,2020-11-14,The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!,"['the', 'hand', 'recount', 'take', 'place', 'in', 'georgia', 'be', 'a', 'waste', 'of', 'time', '.', 'they', 'be', 'not', 'show', 'the', 'matching', 'signature', '.', 'call', 'off', 'the', 'recount', 'until', 'they', 'allow', 'the', 'match', '.', 'do', 'not', 'let', 'the', 'radical', 'left', 'dems', 'steal', 'the', 'election', '!']",True
222,532,1.327824600760275e+18,"Antifa SCUM ran for the hills today when they tried attacking the people at the Trump Rally, because those people aggressively fought back. Antifa waited until tonight, when 99% were gone, to attack innocent #MAGA People. DC Police, get going — do you job and don’t hold back!!!",False,False,56627,16548,2020-11-15,"Antifa SCUM ran for the hills today when they tried attacking the people at the Trump Rally, because those people aggressively fought back. Antifa waited until tonight, when 99% were gone, to attack innocent MAGA People. DC Police, get going — do you job and don’t hold back!!!","['antifa', 'scum', 'run', 'for', 'the', 'hill', 'today', 'when', 'they', 'try', 'attack', 'the', 'people', 'at', 'the', 'trump', 'rally', ',', 'because', 'those', 'people', 'aggressively', 'fight', 'back', '.', 'antifa', 'wait', 'until', 'tonight', ',', 'when', '99', '%', 'be', 'go', ',', 'to', 'attack', 'innocent', 'maga', 'people', '.', 'dc', 'police', ',', 'get', 'go', '—', 'do', 'you', 'job', 'and', 'do', 'not', 'hold', 'back', '!', '!', '!']",True
223,534,1.3278280073110733e+18,"ANTIFA SCUM ran for the hills today when they tried attacking the people at the Trump Rally, because those people aggressively fought back. Antifa waited until tonight, when 99% were gone, to attack innocent #MAGA People. DC Police, get going — do your job and don’t hold back!!!",False,False,342024,75236,2020-11-15,"ANTIFA SCUM ran for the hills today when they tried attacking the people at the Trump Rally, because those people aggressively fought back. Antifa waited until tonight, when 99% were gone, to attack innocent MAGA People. DC Police, get going — do your job and don’t hold back!!!","['antifa', 'scum', 'run', 'for', 'the', 'hill', 'today', 'when', 'they', 'try', 'attack', 'the', 'people', 'at', 'the', 'trump', 'rally', ',', 'because', 'those', 'people', 'aggressively', 'fight', 'back', '.', 'antifa', 'wait', 'until', 'tonight', ',', 'when', '99', '%', 'be', 'go', ',', 'to', 'attack', 'innocent', 'maga', 'people', '.', 'dc', 'police', ',', 'get', 'go', '—', 'do', 'your', 'job', 'and', 'do', 'not', 'hold', 'back', '!', '!', '!']",True
241,576,1.327958640309973e+18,"All of the mechanical “glitches” that took place on Election Night were really THEM getting caught trying to steal votes. They succeeded plenty, however, without getting caught. Mail-in elections are a sick joke!",False,False,269285,53371,2020-11-15,"All of the mechanical “glitches” that took place on Election Night were really THEM getting caught trying to steal votes. They succeeded plenty, however, without getting caught. Mail-in elections are a sick joke!","['all', 'of', 'the', 'mechanical', '""', 'glitch', '""', 'that', 'take', 'place', 'on', 'election', 'night', 'be', 'really', 'they', 'getting', 'catch', 'try', 'to', 'steal', 'vote', '.', 'they', 'succeed', 'plenty', ',', 'however', ',', 'without', 'getting', 'catch', '.', 'mail', '-', 'in', 'election', 'be', 'a', 'sick', 'joke', '!']",True
248,596,1.3279796304779223e+18,He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!,False,False,572034,109164,2020-11-15,He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!,"['he', 'only', 'win', 'in', 'the', 'eye', 'of', 'the', 'fake', 'news', 'media', '.', 'i', 'concede', 'nothing', '!', 'we', 'have', 'a', 'long', 'way', 'to', 'go', '.', 'this', 'be', 'a', 'rigged', 'election', '!']",True
249,605,1.3280551969042514e+18,"John Bolton was one of the dumbest people in government that I’ve had the “pleasure” to work with. A sullen, dull and quiet guy, he added nothing to National Security except, “Gee, let’s go to war.” Also, illegally released much Classified Information. A real dope!",False,False,355884,61089,2020-11-15,"John Bolton was one of the dumbest people in government that I’ve had the “pleasure” to work with. A sullen, dull and quiet guy, he added nothing to National Security except, “Gee, let’s go to war.” Also, illegally released much Classified Information. A real dope!","['john', 'bolton', 'be', 'one', 'of', 'the', 'dumb', 'people', 'in', 'government', 'that', 'i', '’ve', 'have', 'the', '""', 'pleasure', '""', 'to', 'work', 'with', '.', 'a', 'sullen', ',', 'dull', 'and', 'quiet', 'guy', ',', 'he', 'add', 'nothing', 'to', 'national', 'security', 'except', ',', '""', 'gee', ',', 'let', '’s', 'go', 'to', 'war', '.', '""', 'also', ',', 'illegally', 'release', 'much', 'classified', 'information', '.', 'a', 'real', 'dope', '!']",True
253,614,1.328093294782509e+18,We won’t let a RIGGED ELECTION steal our Country! https://t.co/r0H4ZcDkHv,False,False,270740,62410,2020-11-15,We won’t let a RIGGED ELECTION steal our Country!,"['we', 'will', 'not', 'let', 'a', 'rigged', 'election', 'steal', 'our', 'country', '!']",True
255,629,1.3281009455705006e+18,"Many of the court cases being filed all over the Country are not ours, but rather those of people that have seen horrible abuses. Our big cases showing the unconstitutionality of the 2020 Election, & the outrage of things that were done to change the outcome, will soon be filed!",False,False,343592,72974,2020-11-15,"Many of the court cases being filed all over the Country are not ours, but rather those of people that have seen horrible abuses. Our big cases showing the unconstitutionality of the 2020 Election, & the outrage of things that were done to change the outcome, will soon be filed!","['many', 'of', 'the', 'court', 'case', 'be', 'file', 'all', 'over', 'the', 'country', 'be', 'not', 'ours', ',', 'but', 'rather', 'those', 'of', 'people', 'that', 'have', 'see', 'horrible', 'abuse', '.', 'our', 'big', 'case', 'show', 'the', 'unconstitutionality', 'of', 'the', '2020', 'election', ',', '&', 'the', 'outrage', 'of', 'thing', 'that', 'be', 'do', 'to', 'change', 'the', 'outcome', ',', 'will', 'soon', 'be', 'file', '!']",True
266,668,1.3353516298102866e+18,"Between Governor @DougDucey of Arizona and Governor @BrianKempGA of Georgia, the Democrat Party could not be happier. They fight harder against us than do the Radical Left Dems. If they were with us, we would have already won both Arizona and Georgia...",False,False,161551,35679,2020-12-05,"Between Governor of Arizona and Governor of Georgia, the Democrat Party could not be happier. They fight harder against us than do the Radical Left Dems. If they were with us, we would have already won both Arizona and Georgia...","['between', 'governor', 'of', 'arizona', 'and', 'governor', 'of', 'georgia', ',', 'the', 'democrat', 'party', 'could', 'not', 'be', 'happy', '.', 'they', 'fight', 'hard', 'against', 'we', 'than', 'do', 'the', 'radical', 'left', 'dems', '.', 'if', 'they', 'be', 'with', 'we', ',', 'we', 'would', 'have', 'already', 'win', 'both', 'arizona', 'and', 'georgia', '...']",True
269,680,1.3354137701395497e+18,"The answer to the Democrat voter fraud is not to stay at home - that’s what Pelosi and Schumer want you to do. If you want revenge on the Democrats for their efforts to steal the Presidential election, where we are fighting hard, you have to show up and vote in RECORD numbers! https://t.co/XAJ0F2JmeL",False,False,166748,41785,2020-12-06,"The answer to the Democrat voter fraud is not to stay at home - that’s what Pelosi and Schumer want you to do. If you want revenge on the Democrats for their efforts to steal the Presidential election, where we are fighting hard, you have to show up and vote in RECORD numbers!","['the', 'answer', 'to', 'the', 'democrat', 'voter', 'fraud', 'be', 'not', 'to', 'stay', 'at', 'home', '-', 'that', '’', 'what', 'pelosi', 'and', 'schumer', 'want', 'you', 'to', 'do', '.', 'if', 'you', 'want', 'revenge', 'on', 'the', 'democrats', 'for', 'their', 'effort', 'to', 'steal', 'the', 'presidential', 'election', ',', 'where', 'we', 'be', 'fight', 'hard', ',', 'you', 'have', 'to', 'show', 'up', 'and', 'vote', 'in', 'record', 'number', '!']",True
